;;;N°max Story ds ancien BL 0805;;;;;;;;;;;;;;;;;;"finLigne"
;;;prochain N° story = 1129;;;;;;;;;;;;;;;;;;"finLigne"
;;;;;;25/12/14;;;;;;;"autre";;;;;;;;"finLigne"
"num";"It.";"Type";"Dm1 - Lot";"Prio";"En tant que";"Story métier : Je veux…";"afin que/de…";"Référent";"Critères d'acceptation 
(résumé simple ds colonne + ds fitnesse)";"Notes / Questions";"Composant";"charge story 
total charge";"calcul charge Team 
total team du BL";"Team soustraitée total charge sous-traité";"Dépendance";"lien fitnesse";"suivi PO (RAF …)";"Version engagée";"Date de MEP";"Vélocité";"finLigne"
;1;"délégué";;25/12/14;;"ITERATION 01 du 25/12 au 08/01";;" ";;;;22;22;0;;;0;;;"15 pcx";"finLigne"
1100;1;"Story";"DM1 14-089 - Demenagement avec acquisition mobile";;;"Permettre le déménagement de RTC ou HOME vers OPEN avec acquisition d'une ligne mobile :
- modification des conditions d'affichages du bloc de facturation dans l'étape ""validation de la commande""
- Proposer l'ancienne adresse d'installation ou la nouvelle adresse d'installation";;"Christophe";;"- proposer l'adresse principale au lieu de l'ancienne adresse d'installation --> en attente d'un mlacro chiffrage DEV --> ne change rien au macro chiffrage initial";;8;8;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.ChoixAdresseFacturation";;;;;"finLigne"
1110;1;"Story";"Perform";;;"Récupérer l'adresse de facturation mobile sur les parcours CONVERGENT , MULTI-EQUIPEMENTS et MOBILE et la véhiculer dans le CCO";"avoir systématiquement une adresse de facturation mobile dans le CCO en cas de commande envoyée à la VAD";"Didier";"Dans tous les parcours concernant le mobile (""mobile"", milti-équipements"" ou ""convergent""
Si on est sur un client déjà mobile, l
- e CCO doit comporter une adresse de FACTURATION (mobile) redressee au format Mediaposte
Si on est sur un nouveau client mobile
- idem sauf pour le cas de guideline Poc-D MOBIL
Vérifier surtout qu'en guideline Poc-D QUAD avec un clent déjà Open
- on a bien une adresse de FACTURATION récupérée du SI mobile";"il est important 
- d'initialiser les infos d'adresse de facturation à l'accueil
- d'éventuellement les modifier dans le bloc de choix de l'adresse de facturation
- de générer systématiquement une adresse de facturation dans le CCO si l'adresse de facturation est renseignée";;8;8;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.InitialisationAdresseFacturationMobile

http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.ChoixAdresseFacturation

http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.ValidationCommande";;;;;"finLigne"
1101;1;"Story";"DM1 14-089 - Demenagement avec acquisition mobile";;;"Permettre le déménagement de RTC ou HOME vers OPEN avec acquisition d'une ligne mobile :
- Mise à jour du flag legacyMoveBillingAdressSimult";;"Christophe";;;;3;3;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.ChoixAdresseFacturation";;;;;"finLigne"
1111;1;"Story";"Perform";;;"Gestion des offres agendées Mobile => Convegent
-Report C15";"Modif RG1.12 pour ajouter le critère de connexion ""via Rforce""
Modif RG1bis.9 et RG1bis.10 pour bloquer une opération";"Xavier";;;;3;3;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.CasnonOpSoftnonRedirect
http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.CasnonSoftnonRedirect";;"C15";;;"finLigne"
"#";2;"it.";;08/01/15;;"ITERATION 02 du 08/01 au 22/01";;" ";;;;22;22;0;;;0;;"MEP 17/02";"27 pcx";"finLigne"
1090;2;"Story";"DM1 14-089 - Demenagement avec acquisition mobile";;;"Permettre le déménagement de RTC ou HOME vers OPEN avec acquisition d'une ligne mobile :
- Supprimer le bloc de modification d'adresse de facturation mobile dans l'étape ""création de ligne""";;"Christophe";"Lors d'un déménagement vers OPEN avec acquisition d'une nouvelle ligne mobile sur le canal du service client (700), je ne veux plus voir apparaitre le bloc du choix de l'adresse de facturation mobile dans l'étape ""création de ligne"".";;;8;8;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.PriseCommandeQuad.GestionDemOpenAdrFacturationMobileSimultaneeSiCboEtGuidelinePocD";;;;;"finLigne"
1109;2;"Story";"DM1 14-089 - Demenagement avec acquisition mobile";;;"Déménagement intra-DR: afficher le bloc des données signalitiques pour un cas de déménagement Open avec Acq Mobil";;"Christophe";"Lors d'un déménagement vers OPEN avec acquisition d'une nouvelle ligne mobile sur le canal du service client (700), je veux pouvoir saisir les données signalétiques du client dans l'étape ""création de ligne"".";;;3;3;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.CreationClientLigneCompte";;;;;"finLigne"
1113;2;"Story";"DM1 14-089 - Demenagement avec acquisition mobile";;;"Déménagement intra-DR: - Ne pas déporter (afficher) le numéro de contact dans l’écran « Déménagement de la ligne : Compléments pour l'installation » (où se trouvent la date d'emménagement souhaité) ";;"Christophe";"Lors d'un déménagement vers OPEN avec acquisition d'une nouvelle ligne mobile en intra-DR sur le canal du service client (700), je ne veux plus voir apparaitre le numéro de contact sur l'écran de ""choix des dates de déménagement"".";;;3;3;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.CreationClientLigneCompte";;;;;"finLigne"
